data,extract4,extract3,extract2,extract1,extract
MW ,0101,(Total: 40, Open: 1, Waitlist: 0),2:00pm - 3:15pm,CSI  1121,CMSC427
Jeffrey Foster ,0101,(Total: 40, Open: 1, Waitlist: 0),3:30pm - 4:45pm,CSI  2107,CMSC430
MW ,0101,(Total: 50, Open: 0, Waitlist: 15),3:30pm - 4:45pm,CSI  2107,CMSC430
Michael Hicks ,0101,(Total: 50, Open: 0, Waitlist: 15),3:30pm - 4:45pm,CSI  1121,CMSC433
TuTh ,0101,(Total: 44, Open: 0, Waitlist: 8),3:30pm - 4:45pm,CSI  1121,CMSC433
Jon Froehlich,0101,(Total: 44, Open: 0, Waitlist: 8),9:30am - 10:45am,CSI  1122,CMSC434
TuTh ,0101,(Total: 44, Open: 0, Waitlist: 6),9:30am - 10:45am,CSI  1122,CMSC434
Vibha Sazawal,0201,(Total: 44, Open: 0, Waitlist: 6),11:00am - 12:15pm,CSI  1121,CMSC434
TuTh ,0201,(Total: 50, Open: 0, Waitlist: 4),11:00am - 12:15pm,CSI  1121,CMSC434
James Purtilo ,0101,(Total: 50, Open: 0, Waitlist: 4),12:30pm - 1:45pm,CSI  1121,CMSC435
TuTh ,0101,(Total: 50, Open: 0, Waitlist: 14),12:30pm - 1:45pm,CSI  1121,CMSC435
Adam Porter ,0101,(Total: 50, Open: 0, Waitlist: 14),9:30am - 10:45am,CSI  1121,CMSC436
TuTh ,0101,(Total: 60, Open: 0, Waitlist: 11),9:30am - 10:45am,CSI  1121,CMSC436
Atif Memon ,0201,(Total: 60, Open: 0, Waitlist: 11),12:30pm - 1:45pm,CSI  2117,CMSC436
TuTh ,0201,(Total: 40, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  2117,CMSC436
Aravind Srinivasan,0101,(Total: 40, Open: 0, Waitlist: 1),12:30pm - 1:45pm,CSI  3120,CMSC451
TuTh ,0101,(Total: 32, Open: 11, Waitlist: 0),12:30pm - 1:45pm,CSI  3120,CMSC451
William Gasarch ,0101,(Total: 32, Open: 11, Waitlist: 0),2:00pm - 3:15pm,CSI  3118,CMSC452
TuTh ,0101,(Total: 40, Open: 0, Waitlist: 3),2:00pm - 3:15pm,CSI  3118,CMSC452
Jonathan Katz,0101,(Total: 40, Open: 0, Waitlist: 3),12:00pm - 12:50pm,CSI  1121,CMSC456
MWF ,0101,(Total: 33, Open: 0, Waitlist: 2),12:00pm - 12:50pm,CSI  1121,CMSC456
Harland Glaz ,0101,(Total: 33, Open: 0, Waitlist: 2),12:30pm - 1:45pm,MTH  0304,CMSC460
TuTh ,0101,(Total: 25, Open: 2, Waitlist: 0),12:30pm - 1:45pm,MTH  0304,CMSC460
Changhui Tan,0201,(Total: 25, Open: 2, Waitlist: 0),2:00pm - 3:15pm,MTH  0409,CMSC460
TuTh ,0201,(Total: 25, Open: 11, Waitlist: 0),2:00pm - 3:15pm,MTH  0409,CMSC460
Maria Cameron,0101,(Total: 25, Open: 11, Waitlist: 0),11:00am - 11:50am,MTH  1311,CMSC466
MWF ,0101,(Total: 40, Open: 9, Waitlist: 0),11:00am - 11:50am,MTH  1311,CMSC466
Dana Nau ,0101,(Total: 40, Open: 9, Waitlist: 0),3:30pm - 4:45pm,CSI  2120,CMSC474
TuTh ,0101,(Total: 10, Open: 7, Waitlist: 0),3:30pm - 4:45pm,CSI  2120,CMSC474
Uzi Vishkin ,0101,(Total: 10, Open: 7, Waitlist: 0),11:00am - 12:15pm,ITV  1100,CMSC498
MW ,0101,(Total: 40, Open: 8, Waitlist: 0),11:00am - 12:15pm,ITV  1100,CMSC498
Amol Deshpande,0101,(Total: 40, Open: 8, Waitlist: 0),11:00am - 12:15pm,CSI  2107,CMSC498
TuTh ,0101,(Total: 10, Open: 0, Waitlist: 4),11:00am - 12:15pm,CSI  2107,CMSC498
