split,split1,split2,split3,split4,split5,split6,split7
CMSC631,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  3118
CMSC631,0101,David Van Horn,,,,TuTh 3:30pm - 4:45pm,CSI  3118
CMSC631,0101,,20,3,0,TuTh 3:30pm - 4:45pm,CSI  3118
CMSC631,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  3118
CMSC660,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  3120
CMSC660,0101,Ramani Duraiswami,,,,TuTh 3:30pm - 4:45pm,CSI  3120
CMSC660,0101,,25,0,3,TuTh 3:30pm - 4:45pm,CSI  3120
CMSC660,0101,,,,,TuTh 3:30pm - 4:45pm,CSI  3120
CMSC663,0101,,,,,TuTh 5:00pm - 6:15pm,CSI  4122
CMSC663,0101,Howard Elman,,,,TuTh 5:00pm - 6:15pm,CSI  4122
CMSC663,0101,,20,15,0,TuTh 5:00pm - 6:15pm,CSI  4122
CMSC663,0101,,,,,TuTh 5:00pm - 6:15pm,CSI  4122
CMSC666,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  4122
CMSC666,0101,Tobias von Petersdorff,,,,TuTh 2:00pm - 3:15pm,CSI  4122
CMSC666,0101,,25,8,0,TuTh 2:00pm - 3:15pm,CSI  4122
CMSC666,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  4122
CMSC701,0101,,,,,TuTh 9:30am - 10:45am,CSI  3120
CMSC701,0101,Mihai Pop,,,,TuTh 9:30am - 10:45am,CSI  3120
CMSC701,0101,,40,9,0,TuTh 9:30am - 10:45am,CSI  3120
CMSC701,0101,,,,,TuTh 9:30am - 10:45am,CSI  3120
CMSC712,0101,,,,,TuTh 2:00pm - 3:30pm,AVW  3258
CMSC712,0101,A. U. Shankar,,,,TuTh 2:00pm - 3:30pm,AVW  3258
CMSC712,0101,,20,0,0,TuTh 2:00pm - 3:30pm,AVW  3258
CMSC712,0101,,,,,TuTh 2:00pm - 3:30pm,AVW  3258
CMSC723,0101,,,,,TuTh 2:00pm - 3:15pm,CSI  2120
CMSC723,0101,Hal Daume,,,,TuTh 2:00pm - 3:15pm,CSI  2120
